objectid,title,date,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,rights,rightsstatement,type,format,language,relation,filename,identifier,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
Hughes001,The Jukebox,2020,yes," Hughes, J.M.",,flash fiction piece,multiple-page; typed document,pdf document,"Wilmington, NC",,,,,,,"JH-101, Box 1",,,Text,application/pdf,Eng,,,,pdf,,,,,
Hughes002,We'll Talk in the Morning,2018,yes," Hughes, J.M.",,script,multiple-page; typed document,pdf document,"Wilmington, NC",,,,,,,"JH-101, Box 1",,,Text,application/pdf,Eng,,,,pdf,,,,,
Hughes003,Fiction Assignment,2015,yes," Hughes, J.M.",,short fiction story,multiple-page; typed document,pdf document,"Wilmington, NC",,,,,,,"JH-101, Box 1",,,Text,application/pdf,Eng,,,,pdf,,,,,
Hughes004,The Coma Patient,2014,yes," Hughes, J.M.",,manuscript,multiple-page; typed document,pdf document,"Wilmington, NC",,,,,,,"JH-101, Box 1",,,Text,application/pdf,Eng,,,,pdf,,,,,
Hughes005,The New Planet Earth,2013,yes," Hughes, J.M.",,manuscript,multiple-page; typed document,pdf document,"Wilmington, NC",,,,,,,"JH-101, Box 1",,,Text,application/pdf,Eng,,,,pdf,,,,,
Hughes006,Look At Me Now,2013,yes," Hughes, J.M.",,manuscript,multiple-page; typed document,pdf document,"Wilmington, NC",,,,,,,"JH-101, Box 1",,,Text,application/pdf,Eng,,,,pdf,,,,,
Hughes007,Almost Out of Time,2011,yes," Hughes, J.M.",,manuscript,multiple-page; typed document,pdf document,"Wilmington, NC",,,,,,,"JH-101, Box 1",,,Text,application/pdf,Eng,,,,pdf,,,,,
Hughes008,The Red Pillar,2014,yes," Hughes, J.M.",,manuscript,multiple-page; typed document,pdf document,"Wilmington, NC",,,,,,,"JH-101, Box 1",,,Text,application/pdf,Eng,,,,pdf,,,,,
Hughes009,The Autumn Mysteries,2013,yes," Hughes, J.M.",,manuscript,multiple-page; typed document,pdf document,"Wilmington, NC",,,,,,,"JH-101, Box 1",,,Text,application/pdf,Eng,,,,pdf,,,,,
Hughes010,Fallen Angel's Destiny,2011,yes," Hughes, J.M.",,manuscript,multiple-page; typed document,pdf document,"Wilmington, NC",,,,,,,"JH-101, Box 1",,,Text,application/pdf,Eng,,,,pdf,,,,,